transcript_id	frame0	frame1	frame2	frameSum
YGL142C_mRNA	223	1	23	247
YLR103C_mRNA	72	0	4	76
YHR215W_mRNA	45	0	3	48
YNR020C_mRNA	343	3	21	367
YNL313C_mRNA	1023	18	117	1158
YJL055W_mRNA	809	21	61	891
YCL048W-A_mRNA	2	0	0	2
YMR007W_mRNA	0	0	0	0
YMR273C_mRNA	522	9	52	583
YGR182C_mRNA	0	0	0	0
YIR024C_mRNA	112	1	23	136
YGR293C_mRNA	0	0	0	0
YOL040C_mRNA	33380	767	3631	37778
YJL011C_mRNA	363	9	46	418
YKR060W_mRNA	114	1	10	125
YAR020C_mRNA	2	0	0	2
YDL110C_mRNA	1424	13	160	1597
YDR067C_mRNA	279	12	30	321
YLR401C_mRNA	1201	31	158	1390
YPR162C_mRNA	363	16	30	409
YLR424W_mRNA	34	0	4	38
YBR149W_mRNA	1897	18	221	2136
YLR453C_mRNA	56	3	7	66
YKL128C_mRNA	590	9	50	649
YNL185C_mRNA	572	17	42	631
YEL015W_mRNA	398	6	44	448
YBR196C-A_mRNA	0	0	0	0
YDR044W_mRNA	204	5	28	237
YOR099W_mRNA	604	10	46	660
YDR005C_mRNA	304	10	25	339
YGR176W_mRNA	0	0	0	0
YKL090W_mRNA	95	2	9	106
YLR235C_mRNA	0	0	0	0
YFL027C_mRNA	153	8	23	184
YNL286W_mRNA	35	5	4	44
YJL083W_mRNA	23	1	4	28
YOL066C_mRNA	527	10	53	590
YOL022C_mRNA	933	20	108	1061
YCL043C_mRNA	15901	285	1004	17190
YLR371W_mRNA	150	4	23	177
YLR336C_mRNA	1096	32	97	1225
YEL008W_mRNA	1	0	0	1
YDL129W_mRNA	55	0	13	68
YPR002W_mRNA	51	2	5	58
YER148W-A_mRNA	0	0	0	0
YPR180W_mRNA	141	5	22	168
YJL049W_mRNA	95	0	10	105
YJL219W_mRNA	0	0	0	0
YHR203C_mRNA	7485	153	505	8143
YDL145C_mRNA	2165	44	178	2387
YIL064W_mRNA	356	9	35	400
YIL127C_mRNA	378	6	50	434
YPR016C_mRNA	5428	76	513	6017
YOL015W_mRNA	0	0	0	0
YLR016C_mRNA	212	13	17	242
YMR152W_mRNA	209	6	18	233
YEL028W_mRNA	0	0	0	0
YGR280C_mRNA	1308	10	118	1436
YBL076C_mRNA	9470	147	656	10273
YHR067W_mRNA	27	0	2	29
YOR253W_mRNA	144	2	21	167
YHL048C-A_mRNA	0	0	0	0
YBL030C_mRNA	8540	118	587	9245
YDL007W_mRNA	2442	33	176	2651
YML030W_mRNA	132	3	13	148
YPL211W_mRNA	272	2	41	315
YPL236C_mRNA	196	2	21	219
YMR256C_mRNA	1047	17	100	1164
YOR144C_mRNA	83	5	11	99
YDL227C_mRNA	6	3	6	15
YLR441C_mRNA	18400	176	1370	19946
YNL325C_mRNA	210	6	20	236
YPL208W_mRNA	96	6	9	111
YBR211C_mRNA	424	6	27	457
YMR279C_mRNA	1	0	0	1
YLR348C_mRNA	1000	20	77	1097
YBR230C_mRNA	1093	16	80	1189
YBR237W_mRNA	57	2	10	69
YJL109C_mRNA	1367	28	155	1550
YLR077W_mRNA	95	4	9	108
YMR017W_mRNA	0	0	0	0
YLR405W_mRNA	148	2	18	168
YKL180W_mRNA	8024	97	920	9041
YGR169C_mRNA	73	0	15	88
YOL077W-A_mRNA	260	3	19	282
YIL096C_mRNA	84	2	13	99
YMR004W_mRNA	241	3	27	271
YGR118W_mRNA	2880	39	351	3270
YOR342C_mRNA	149	7	16	172
YOR346W_mRNA	30	2	1	33
YCL076W_mRNA	0	0	0	0
YPL039W_mRNA	29	0	1	30
YDL078C_mRNA	2618	33	277	2928
YDR099W_mRNA	2013	17	117	2147
YJL038C_mRNA	2	0	0	2
YLR386W_mRNA	219	2	19	240
YOR098C_mRNA	2065	47	196	2308
YFL011W_mRNA	0	0	0	0
YLR137W_mRNA	91	3	9	103
YGR279C_mRNA	23949	340	1685	25974
YHR022C-A_mRNA	1	0	0	1
YBR117C_mRNA	31	0	4	35
YFL053W_mRNA	6	0	0	6
YNL274C_mRNA	707	8	52	767
Q0075_mRNA	0	0	0	0
YJR089W_mRNA	184	4	24	212
YNL066W_mRNA	1313	30	107	1450
YKL068W-A_mRNA	64	3	15	82
YML133W-A_mRNA	0	0	0	0
YLR337C_mRNA	1758	50	170	1978
YLR157W-E_mRNA	0	0	0	0
YHR028C_mRNA	1846	38	150	2034
YKL097C_mRNA	0	0	0	0
YPR036W_mRNA	1472	18	94	1584
YLL039C_mRNA	7969	160	1274	9403
YNL178W_mRNA	5696	73	389	6158
YJL051W_mRNA	73	5	9	87
YOR107W_mRNA	1	0	1	2
YOR015W_mRNA	0	3	0	3
YDR508C_mRNA	6648	130	544	7322
YER145C_mRNA	2491	42	223	2756
YER151C_mRNA	1075	25	141	1241
YGR136W_mRNA	1563	28	169	1760
YHL009C_mRNA	570	10	71	651
YDR420W_mRNA	128	1	10	139
YGL130W_mRNA	257	6	24	287
YMR108W_mRNA	3209	50	401	3660
YGR287C_mRNA	6	1	1	8
YBR195C_mRNA	123	12	6	141
YJL162C_mRNA	107	8	12	127
YKR014C_mRNA	1752	32	163	1947
YDR320C_mRNA	1453	23	100	1576
YDR261C_mRNA	370	8	38	416
YNL008C_mRNA	281	12	47	340
YFR001W_mRNA	163	0	13	176
YLR410W_mRNA	1290	23	160	1473
YKL106C-A_mRNA	2	0	8	10
YJL147C_mRNA	50	3	7	60
YKL150W_mRNA	1127	24	157	1308
YPL244C_mRNA	155	5	20	180
YDR091C_mRNA	2822	57	252	3131
YNR061C_mRNA	735	13	83	831
YBL065W_mRNA	0	0	0	0
YDL018C_mRNA	228	1	26	255
YLR294C_mRNA	4	0	9	13
YDR541C_mRNA	27	0	2	29
YLR333C_mRNA	11949	106	460	12515
YPR019W_mRNA	362	3	44	409
YER054C_mRNA	59	2	5	66
YDR031W_mRNA	234	3	46	283
YKR101W_mRNA	52	1	6	59
YFR052W_mRNA	758	7	79	844
YNL091W_mRNA	476	6	72	554
YDL072C_mRNA	2375	36	248	2659
YEL075W-A_mRNA	0	0	0	0
YPL044C_mRNA	0	0	0	0
YMR128W_mRNA	358	7	56	421
YBR128C_mRNA	43	7	11	61
YDL150W_mRNA	535	9	72	616
YBL010C_mRNA	172	7	20	199
YLR031W_mRNA	0	0	0	0
YML081W_mRNA	125	8	12	145
YBR078W_mRNA	5680	83	549	6312
YPL224C_mRNA	211	2	26	239
YDR003W-A_mRNA	1	0	0	1
YER179W_mRNA	17	1	3	21
YDL247W_mRNA	0	0	0	0
YDR366C_mRNA	3	2	7	12
YLR432W_mRNA	2524	32	168	2724
YER025W_mRNA	2765	38	297	3100
YOL085C_mRNA	0	2	0	2
YER050C_mRNA	430	3	65	498
YNR055C_mRNA	229	6	23	258
YMR251W-A_mRNA	12360	152	433	12945
YHR046C_mRNA	431	5	36	472
YMR191W_mRNA	121	1	16	138
YMR272W-B_mRNA	0	0	0	0
YDR226W_mRNA	3240	46	461	3747
YBL036C_mRNA	1058	22	102	1182
YDR538W_mRNA	2	0	0	2
YER146W_mRNA	384	5	23	412
YBR189W_mRNA	7866	92	859	8817
YOR152C_mRNA	188	4	16	208
YLR159W_mRNA	0	0	0	0
YOR022C_mRNA	150	5	26	181
YLR362W_mRNA	85	2	9	96
YNL002C_mRNA	1861	32	155	2048
Q0050_mRNA	0	0	1	1
YBR141C_mRNA	188	3	22	213
YJL047C_mRNA	187	4	19	210
YBR001C_mRNA	1587	35	170	1792
YGL241W_mRNA	179	2	15	196
YIL009C-A_mRNA	222	7	40	269
YLL020C_mRNA	3	5	35	43
YOR026W_mRNA	24	1	7	32
YBR138C_mRNA	492	5	65	562
YDR188W_mRNA	1354	23	129	1506
YDR281C_mRNA	2	0	0	2
YHR181W_mRNA	187	4	26	217
YDR489W_mRNA	145	3	17	165
YMR111C_mRNA	215	5	15	235
YER005W_mRNA	147	1	13	161
YGR072W_mRNA	195	5	22	222
YOL136C_mRNA	292	9	20	321
YJL212C_mRNA	320	4	42	366
YGL022W_mRNA	689	12	77	778
YJL084C_mRNA	396	7	40	443
YLR011W_mRNA	40	0	10	50
YBL029C-A_mRNA	376	4	52	432
YDR072C_mRNA	754	11	78	843
YGR088W_mRNA	281	4	31	316
YBR127C_mRNA	12237	158	1248	13643
YGL096W_mRNA	6	0	5	11
YDR523C_mRNA	0	0	0	0
YPL264C_mRNA	108	4	13	125
YPL181W_mRNA	462	6	40	508
YOL072W_mRNA	136	5	23	164
YOR186W_mRNA	1	0	0	1
YLR380W_mRNA	163	1	13	177
YCR016W_mRNA	223	5	31	259
YNL191W_mRNA	95	2	11	108
YPL138C_mRNA	239	7	32	278
YIL128W_mRNA	189	2	22	213
YLR130C_mRNA	216	5	17	238
YGL078C_mRNA	912	17	100	1029
YDR225W_mRNA	1426	20	160	1606
YHR205W_mRNA	555	5	62	622
YGR025W_mRNA	7	1	4	12
YIL017C_mRNA	153	4	18	175
YDL155W_mRNA	148	3	16	167
YJL184W_mRNA	336	5	40	381
YOR298C-A_mRNA	40163	703	4363	45229
YDR090C_mRNA	385	4	40	429
YHL019W-A_mRNA	0	0	0	0
YGR177C_mRNA	114	3	28	145
YDR450W_mRNA	6879	78	700	7657
YMR280C_mRNA	16	1	3	20
